Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
tail,0.042357,2.0001E-08,-2.3091E-09,0,0,0,0.097262,1.3388E-05,-1.0303E-11,1.1792E-12,4.4738E-05,-3.263E-13,4.3885E-05,0,0,0,0,0,0,package://kanake6_sim/meshes/tail.STL,1,0.8629,0.1568,1,0,0,0,0,0,0,package://kanake6_sim/meshes/tail.STL,,kanake6_tail-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link15,0.028014,-4.451E-09,2.2161E-08,0,0,0,0.06907,9.6694E-06,-1.3944E-11,8.3913E-12,1.5822E-05,9.5867E-11,1.5931E-05,0,0,0,0,0,0,package://kanake6_sim/meshes/Link15.STL,1,0.8629,0.1568,1,0,0,0,0,0,0,package://kanake6_sim/meshes/Link15.STL,,kanake6_module-1,Origin_j16,,j16,revolute,0.07155,0,0,0,0,0,tail,0,0,0,0,0,0,0,,,,,,,,
Link14,0.028014,-4.451E-09,2.2161E-08,0,0,0,0.06907,9.6694E-06,-1.3944E-11,8.3913E-12,1.5822E-05,9.5867E-11,1.5931E-05,0,0,0,0,0,0,package://kanake6_sim/meshes/Link14.STL,1,0.8629,0.1568,1,0,0,0,0,0,0,package://kanake6_sim/meshes/Link14.STL,,kanake6_module-2,Origin_j15,,j15,revolute,0.0426,0,0,-1.5708,0,0,Link15,0,0,0,0,0,0,0,,,,,,,,
Link13,0.028014,-4.451E-09,2.2161E-08,0,0,0,0.06907,9.6694E-06,-1.3944E-11,8.3913E-12,1.5822E-05,9.5867E-11,1.5931E-05,0,0,0,0,0,0,package://kanake6_sim/meshes/Link13.STL,1,0.8629,0.1568,1,0,0,0,0,0,0,package://kanake6_sim/meshes/Link13.STL,,kanake6_module-3,Origin_j14,,j14,revolute,0.0426,0,0,1.5708,0,0,Link14,0,0,0,0,0,0,0,,,,,,,,
Link12,0.028014,-4.451E-09,2.2161E-08,0,0,0,0.06907,9.6694E-06,-1.3944E-11,8.3913E-12,1.5822E-05,9.5867E-11,1.5931E-05,0,0,0,0,0,0,package://kanake6_sim/meshes/Link12.STL,1,0.8629,0.1568,1,0,0,0,0,0,0,package://kanake6_sim/meshes/Link12.STL,,kanake6_module-4,Origin_j13,,j13,revolute,0.0426,0,0,-1.5708,0,0,Link13,0,0,0,0,0,0,0,,,,,,,,
Link11,0.028014,-4.451E-09,2.2161E-08,0,0,0,0.06907,9.6694E-06,-1.3944E-11,8.3913E-12,1.5822E-05,9.5867E-11,1.5931E-05,0,0,0,0,0,0,package://kanake6_sim/meshes/Link11.STL,1,0.8629,0.1568,1,0,0,0,0,0,0,package://kanake6_sim/meshes/Link11.STL,,kanake6_module-5,Origin_j12,,j12,revolute,0.0426,0,0,1.5708,0,0,Link12,0,0,0,0,0,0,0,,,,,,,,
Link10,0.028014,-4.451E-09,2.2161E-08,0,0,0,0.06907,9.6694E-06,-1.3944E-11,8.3913E-12,1.5822E-05,9.5867E-11,1.5931E-05,0,0,0,0,0,0,package://kanake6_sim/meshes/Link10.STL,1,0.8629,0.1568,1,0,0,0,0,0,0,package://kanake6_sim/meshes/Link10.STL,,kanake6_module-6,Origin_j11,,j11,revolute,0.0426,0,0,-1.5708,0,0,Link11,0,0,0,0,0,0,0,,,,,,,,
Link9,0.028014,-4.451E-09,2.2161E-08,0,0,0,0.06907,9.6694E-06,-1.3944E-11,8.3913E-12,1.5822E-05,9.5867E-11,1.5931E-05,0,0,0,0,0,0,package://kanake6_sim/meshes/Link9.STL,1,0.8629,0.1568,1,0,0,0,0,0,0,package://kanake6_sim/meshes/Link9.STL,,kanake6_module-7,Origin_j10,,j10,revolute,0.0426,0,0,1.5708,0,0,Link10,0,0,0,0,0,0,0,,,,,,,,
Link8,0.028014,-4.451E-09,2.2161E-08,0,0,0,0.06907,9.6694E-06,-1.3944E-11,8.3913E-12,1.5822E-05,9.5867E-11,1.5931E-05,0,0,0,0,0,0,package://kanake6_sim/meshes/Link8.STL,1,0.8629,0.1568,1,0,0,0,0,0,0,package://kanake6_sim/meshes/Link8.STL,,kanake6_module-8,Origin_j9,,j9,revolute,0.0426,0,0,-1.5708,0,0,Link9,0,0,0,0,0,0,0,,,,,,,,
Link7,0.028014,-4.451E-09,2.2161E-08,0,0,0,0.06907,9.6694E-06,-1.3944E-11,8.3913E-12,1.5822E-05,9.5867E-11,1.5931E-05,0,0,0,0,0,0,package://kanake6_sim/meshes/Link7.STL,1,0.8629,0.1568,1,0,0,0,0,0,0,package://kanake6_sim/meshes/Link7.STL,,kanake6_module-9,Origin_j8,,j8,revolute,0.0426,0,0,1.5708,0,0,Link8,0,0,0,0,0,0,0,,,,,,,,
Link6,0.028014,-4.451E-09,2.2161E-08,0,0,0,0.06907,9.6694E-06,-1.3944E-11,8.3913E-12,1.5822E-05,9.5867E-11,1.5931E-05,0,0,0,0,0,0,package://kanake6_sim/meshes/Link6.STL,1,0.8629,0.1568,1,0,0,0,0,0,0,package://kanake6_sim/meshes/Link6.STL,,kanake6_module-10,Origin_j7,,j7,revolute,0.0426,0,0,-1.5708,0,0,Link7,0,0,0,0,0,0,0,,,,,,,,
Link5,0.028014,-4.451E-09,2.2161E-08,0,0,0,0.06907,9.6694E-06,-1.3944E-11,8.3913E-12,1.5822E-05,9.5867E-11,1.5931E-05,0,0,0,0,0,0,package://kanake6_sim/meshes/Link5.STL,1,0.8629,0.1568,1,0,0,0,0,0,0,package://kanake6_sim/meshes/Link5.STL,,kanake6_module-11,Origin_j6,,j6,revolute,0.0426,0,0,1.5708,0,0,Link6,0,0,0,0,0,0,0,,,,,,,,
Link4,0.028014,-4.451E-09,2.2161E-08,0,0,0,0.06907,9.6694E-06,-1.3944E-11,8.3913E-12,1.5822E-05,9.5867E-11,1.5931E-05,0,0,0,0,0,0,package://kanake6_sim/meshes/Link4.STL,1,0.8629,0.1568,1,0,0,0,0,0,0,package://kanake6_sim/meshes/Link4.STL,,kanake6_module-12,Origin_j5,,j5,revolute,0.0426,0,0,-1.5708,0,0,Link5,0,0,0,0,0,0,0,,,,,,,,
Link3,0.028014,-4.451E-09,2.2161E-08,0,0,0,0.06907,9.6694E-06,-1.3944E-11,8.3913E-12,1.5822E-05,9.5867E-11,1.5931E-05,0,0,0,0,0,0,package://kanake6_sim/meshes/Link3.STL,1,0.8629,0.1568,1,0,0,0,0,0,0,package://kanake6_sim/meshes/Link3.STL,,kanake6_module-13,Origin_j4,,j4,revolute,0.0426,0,0,1.5708,0,0,Link4,0,0,0,0,0,0,0,,,,,,,,
Link2,0.028014,-4.451E-09,2.2161E-08,0,0,0,0.06907,9.6694E-06,-1.3944E-11,8.3913E-12,1.5822E-05,9.5867E-11,1.5931E-05,0,0,0,0,0,0,package://kanake6_sim/meshes/Link2.STL,1,0.8269,0.1568,1,0,0,0,0,0,0,package://kanake6_sim/meshes/Link2.STL,,kanake6_module-14,Origin_j3,,j3,revolute,0.0426,0,0,-1.5708,0,0,Link3,0,0,0,0,0,0,0,,,,,,,,
Link1,0.028014,-4.451E-09,2.2161E-08,0,0,0,0.06907,9.6694E-06,-1.3944E-11,8.3913E-12,1.5822E-05,9.5867E-11,1.5931E-05,0,0,0,0,0,0,package://kanake6_sim/meshes/Link1.STL,1,0.8629,0.1568,1,0,0,0,0,0,0,package://kanake6_sim/meshes/Link1.STL,,kanake6_module-15,Origin_j2,,j2,revolute,0.0426,0,0,1.5708,0,0,Link2,0,0,0,0,0,0,0,,,,,,,,
head,0.0275,1.7311E-06,-1.5899E-07,0,0,0,0.033765,5.2247E-06,-1.1806E-09,-6.205E-11,7.0127E-06,3.0927E-11,7.2231E-06,0,0,0,0,0,0,package://kanake6_sim/meshes/head.STL,1,0.8629,0.1568,1,0,0,0,0,0,0,package://kanake6_sim/meshes/head.STL,,kanake6_head-1,Origin_j1,,j1,revolute,0.0426,0,0,-1.5708,0,0,Link1,0,0,0,0,0,0,0,,,,,,,,
