Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
head,-0.0202156710748115,-1.43465418462842E-07,-1.56480055908645E-06,0,0,0,0.0366319470948477,6.20591511809944E-06,-5.30087560675052E-11,1.18696434390736E-09,8.25464507263961E-06,-2.13167538413562E-10,7.9841166433742E-06,0,0,0,0,0,0,package://kanake6_sim_0808_4.SLDASM/meshes/head.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://kanake6_sim_0808_4.SLDASM/meshes/head.STL,,kanake6_head-1;kanake6_cover_head-1,global_origin,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.0149144121017575,-3.73601402370638E-07,2.49693079046398E-08,0,0,0,0.0712511533582805,1.04159884007023E-05,1.86218037779566E-10,-3.01043285853867E-11,1.64748507384434E-05,-1.82879175460889E-10,1.64641321531213E-05,0,0,0,0,0,0,package://kanake6_sim_0808_4.SLDASM/meshes/Link1.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://kanake6_sim_0808_4.SLDASM/meshes/Link1.STL,,kanake6_module-15;kanake6_cover_module-15,Origin_j1,Axis_j1,j1,revolute,-0.0473500000047962,0,0,-1.5707963267949,0,0,head,0,0,1,0,0,0,0,,,,,,,,
Link2,-0.0149144121027439,3.73601402673656E-07,-2.49693082275148E-08,0,0,0,0.0712511533582804,1.04159884007023E-05,-1.86218037781345E-10,3.01043285841085E-11,1.64748507384434E-05,-1.8287917545946E-10,1.64641321531213E-05,0,0,0,0,0,0,package://kanake6_sim_0808_4.SLDASM/meshes/Link2.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://kanake6_sim_0808_4.SLDASM/meshes/Link2.STL,,kanake6_module-14;kanake6_cover_module-14,Origin_j2,Axis_j2,j2,revolute,-0.0426,0,0,1.5707963267949,0,0,Link1,0,0,1,0,0,0,0,,,,,,,,
Link3,-0.0149144121037305,-3.73601402389964E-07,2.49693078994172E-08,0,0,0,0.0712511533582807,1.04159884007024E-05,1.86218037778639E-10,-3.01043285855072E-11,1.64748507384434E-05,-1.8287917546012E-10,1.64641321531213E-05,0,0,0,0,0,0,package://kanake6_sim_0808_4.SLDASM/meshes/Link3.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://kanake6_sim_0808_4.SLDASM/meshes/Link3.STL,,kanake6_module-13;kanake6_cover_module-13,Origin_j3,Axis_j3,j3,revolute,-0.0426,0,0,-1.5707963267949,0,0,Link2,0,0,1,0,0,0,0,,,,,,,,
Link4,-0.014914412104717,3.73601402679989E-07,-2.49693078684838E-08,0,0,0,0.0712511533582804,1.04159884007023E-05,-1.86218037781387E-10,3.01043285846702E-11,1.64748507384434E-05,-1.82879175459146E-10,1.64641321531213E-05,0,0,0,0,0,0,package://kanake6_sim_0808_4.SLDASM/meshes/Link4.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://kanake6_sim_0808_4.SLDASM/meshes/Link4.STL,,kanake6_module-12;kanake6_cover_module-12,Origin_j4,Axis_j4,j4,revolute,-0.0426000000000001,0,0,1.5707963267949,0,0,Link3,0,0,1,0,0,0,0,,,,,,,,
Link5,-0.0149144121057032,-3.73601402771206E-07,2.49693078958993E-08,0,0,0,0.0712511533582805,1.04159884007023E-05,1.86218037769402E-10,-3.01043285813447E-11,1.64748507384434E-05,-1.82879175458866E-10,1.64641321531213E-05,0,0,0,0,0,0,package://kanake6_sim_0808_4.SLDASM/meshes/Link5.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://kanake6_sim_0808_4.SLDASM/meshes/Link5.STL,,kanake6_module-11;kanake6_cover_module-11,Origin_j5,Axis_j5,j5,revolute,-0.0426,0,0,-1.5707963267949,0,0,Link4,0,0,1,0,0,0,0,,,,,,,,
Link6,-0.0149144121066896,3.73601402685979E-07,-2.49693064988724E-08,0,0,0,0.0712511533582805,1.04159884007023E-05,-1.86218037775192E-10,3.01043285873544E-11,1.64748507384434E-05,-1.82879175459083E-10,1.64641321531214E-05,0,0,0,0,0,0,package://kanake6_sim_0808_4.SLDASM/meshes/Link6.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://kanake6_sim_0808_4.SLDASM/meshes/Link6.STL,,kanake6_module-10;kanake6_cover_module-10,Origin_j6,Axis_j6,j6,revolute,-0.0426,0,0,1.5708,0,0,Link5,0,0,1,0,0,0,0,,,,,,,,
Link7,-0.014914412107676,-3.73601404135501E-07,2.49693078945668E-08,0,0,0,0.0712511533582806,1.04159884007023E-05,1.86218037787259E-10,-3.01043285861876E-11,1.64748507384434E-05,-1.82879175460281E-10,1.64641321531214E-05,0,0,0,0,0,0,package://kanake6_sim_0808_4.SLDASM/meshes/Link7.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://kanake6_sim_0808_4.SLDASM/meshes/Link7.STL,,kanake6_module-9;kanake6_cover_module-9,Origin_j7,Axis_j7,j7,revolute,-0.0426,0,0,-1.5707963267949,0,0,Link6,0,0,1,0,0,0,0,,,,,,,,
Link8,-0.0149144121086625,3.73601402681106E-07,-2.49693065571068E-08,0,0,0,0.0712511533582805,1.04159884007023E-05,-1.86218037774057E-10,3.01043285848922E-11,1.64748507384434E-05,-1.82879175459633E-10,1.64641321531214E-05,0,0,0,0,0,0,package://kanake6_sim_0808_4.SLDASM/meshes/Link8.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://kanake6_sim_0808_4.SLDASM/meshes/Link8.STL,,kanake6_module-8;kanake6_cover_module-8,Origin_j8,Axis_j8,j8,revolute,-0.0426,0,0,1.5707963267949,0,0,Link7,0,0,1,0,0,0,0,,,,,,,,
Link9,-0.0149144121096488,-3.73601403966509E-07,2.49693079023524E-08,0,0,0,0.0712511533582805,1.04159884007023E-05,1.86218037784249E-10,-3.01043285852313E-11,1.64748507384434E-05,-1.82879175458617E-10,1.64641321531213E-05,0,0,0,0,0,0,package://kanake6_sim_0808_4.SLDASM/meshes/Link9.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://kanake6_sim_0808_4.SLDASM/meshes/Link9.STL,,kanake6_module-7;kanake6_cover_module-7,Origin_j9,Axis_j9,j9,revolute,-0.0426,0,0,-1.5707963267949,0,0,Link8,0,0,1,0,0,0,0,,,,,,,,
