Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
head,-0.020216,-1.4347E-07,-1.5648E-06,0,0,0,0.036632,6.2059E-06,-5.3009E-11,1.187E-09,8.2546E-06,-2.1317E-10,7.9841E-06,0,0,0,0,0,0,package://kanake6_sim_0814/meshes/head.STL,0.89412,0.91373,0.92941,1,0,0,0,0,0,0,package://kanake6_sim_0814/meshes/head.STL,,kanake6_head-1;kanake6_cover_head-1,global_origin,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.0149144121017575,-3.73601402370699E-07,2.49693079046193E-08,0,0,0,0.0712511533582805,1.04159884007023E-05,1.8621803777953E-10,-3.01043285854337E-11,1.64748507384434E-05,-1.82879175460904E-10,1.64641321531213E-05,0,0,0,0,0,0,package://kanake6_sim_0814/meshes/Link1.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://kanake6_sim_0814/meshes/Link1.STL,,kanake6_module-15;kanake6_cover_module-15,Origin_j1,Axis_j1,j1,revolute,-0.04735,0,0,-1.5708,0,0,head,0,0,1,0,0,0,0,,,,,,,,
Link2,-0.0149144121027439,3.73601402673777E-07,-2.49693082275194E-08,0,0,0,0.0712511533582805,1.04159884007023E-05,-1.86218037781236E-10,3.01043285840852E-11,1.64748507384434E-05,-1.82879175459459E-10,1.64641321531213E-05,0,0,0,0,0,0,package://kanake6_sim_0814/meshes/Link2.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://kanake6_sim_0814/meshes/Link2.STL,,kanake6_module-14;kanake6_cover_module-14,Origin_j2,Axis_j2,j2,revolute,-0.0426,0,0,1.5707963267949,0,0,Link1,0,0,1,0,0,0,0,,,,,,,,
Link3,-0.0149144121037305,-3.73601402390016E-07,2.49693078992729E-08,0,0,0,0.0712511533582807,1.04159884007024E-05,1.86218037778615E-10,-3.01043285855364E-11,1.64748507384434E-05,-1.82879175460119E-10,1.64641321531213E-05,0,0,0,0,0,0,package://kanake6_sim_0814/meshes/Link3.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://kanake6_sim_0814/meshes/Link3.STL,,kanake6_module-13;kanake6_cover_module-13,Origin_j3,Axis_j3,j3,revolute,-0.0426,0,0,-1.5707963267949,0,0,Link2,0,0,1,0,0,0,0,,,,,,,,
Link4,-0.0149144121047168,3.73601402680042E-07,-2.49693078684758E-08,0,0,0,0.0712511533582804,1.04159884007023E-05,-1.86218037781476E-10,3.01043285846223E-11,1.64748507384434E-05,-1.82879175459145E-10,1.64641321531213E-05,0,0,0,0,0,0,package://kanake6_sim_0814/meshes/Link4.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://kanake6_sim_0814/meshes/Link4.STL,,kanake6_module-12;kanake6_cover_module-12,Origin_j4,Axis_j4,j4,revolute,-0.0426000000000001,0,0,1.5707963267949,0,0,Link3,0,0,1,0,0,0,0,,,,,,,,
Link5,-0.0149144121057032,-3.73601402771178E-07,2.49693078958384E-08,0,0,0,0.0712511533582805,1.04159884007023E-05,1.86218037769447E-10,-3.01043285813938E-11,1.64748507384434E-05,-1.82879175458871E-10,1.64641321531213E-05,0,0,0,0,0,0,package://kanake6_sim_0814/meshes/Link5.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://kanake6_sim_0814/meshes/Link5.STL,,kanake6_module-11;kanake6_cover_module-11,Origin_j5,Axis_j5,j5,revolute,-0.0426,0,0,-1.5707963267949,0,0,Link4,0,0,1,0,0,0,0,,,,,,,,
Link6,-0.0149144121066896,3.73601402685894E-07,-2.49693064988518E-08,0,0,0,0.0712511533582805,1.04159884007023E-05,-1.86218037775225E-10,3.01043285873091E-11,1.64748507384434E-05,-1.82879175459083E-10,1.64641321531214E-05,0,0,0,0,0,0,package://kanake6_sim_0814/meshes/Link6.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://kanake6_sim_0814/meshes/Link6.STL,,kanake6_module-10;kanake6_cover_module-10,Origin_j6,Axis_j6,j6,revolute,-0.0426,0,0,1.5707963267949,0,0,Link5,0,0,1,0,0,0,0,,,,,,,,
Link7,-0.014914412107676,-3.73601404135491E-07,2.49693078946006E-08,0,0,0,0.0712511533582806,1.04159884007023E-05,1.86218037787258E-10,-3.01043285862094E-11,1.64748507384434E-05,-1.82879175460284E-10,1.64641321531214E-05,0,0,0,0,0,0,package://kanake6_sim_0814/meshes/Link7.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://kanake6_sim_0814/meshes/Link7.STL,,kanake6_module-9;kanake6_cover_module-9,Origin_j7,Axis_j7,j7,revolute,-0.0426,0,0,-1.5707963267949,0,0,Link6,0,0,1,0,0,0,0,,,,,,,,
Link8,-0.0149144121086625,3.73601402681117E-07,-2.49693065571685E-08,0,0,0,0.0712511533582805,1.04159884007023E-05,-1.8621803777398E-10,3.01043285848382E-11,1.64748507384434E-05,-1.82879175459632E-10,1.64641321531214E-05,0,0,0,0,0,0,package://kanake6_sim_0814/meshes/Link8.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://kanake6_sim_0814/meshes/Link8.STL,,kanake6_module-8;kanake6_cover_module-8,Origin_j8,Axis_j8,j8,revolute,-0.0426,0,0,1.5707963267949,0,0,Link7,0,0,1,0,0,0,0,,,,,,,,
Link9,-0.0149144121096488,-3.736014039664E-07,2.49693079023127E-08,0,0,0,0.0712511533582805,1.04159884007023E-05,1.86218037784197E-10,-3.01043285851698E-11,1.64748507384434E-05,-1.82879175458627E-10,1.64641321531213E-05,0,0,0,0,0,0,package://kanake6_sim_0814/meshes/Link9.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://kanake6_sim_0814/meshes/Link9.STL,,kanake6_module-7;kanake6_cover_module-7,Origin_j9,Axis_j9,j9,revolute,-0.0426,0,0,-1.5707963267949,0,0,Link8,0,0,1,0,0,0,0,,,,,,,,
